GroupID(X),GroupID(Y),GroupID(Z),GroupThreadID(X),GroupThreadID(Y),GroupThreadID(Z),DispatchThreadID(X),DispatchThreadID(Y),DispatchThreadID(Z),GroupIndex,Value
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	0,0,0,	0,0,0,	0,0.000000
